Sample in Buffer,Sample in Window,TRIGGER,SPI_CLK_OBUF,State_copy[8:0],SPI_RESET_OBUF,SPI_MOSI_OBUF,SPI_MISO_IBUF,data_input[7:0],data_output[7:0],rw_flag[1:0],SPI_CS_OBUF,TrigerEvent,SPI_gen_CLK
342,342,0,1,29,1,1,1,00,00,1,0,1,1
343,343,0,1,29,1,1,1,00,00,1,0,1,0
344,344,0,1,30,1,1,1,00,00,1,0,1,1
345,345,0,1,30,1,1,1,00,00,1,0,1,0
346,346,0,0,31,1,0,1,00,00,1,0,1,1
347,347,0,0,31,1,0,1,00,00,1,0,1,0
348,348,0,0,32,1,0,1,00,00,1,0,1,1
349,349,0,0,32,1,0,1,00,00,1,0,1,0
350,350,0,1,33,1,0,1,00,00,1,0,1,1
351,351,0,1,33,1,0,1,00,00,1,0,1,0
352,352,0,1,34,1,0,1,00,00,1,0,1,1
353,353,0,1,34,1,0,1,00,00,1,0,1,0
354,354,0,0,35,1,0,1,00,00,1,0,1,1
355,355,0,0,35,1,0,1,00,00,1,0,1,0
356,356,0,0,36,1,0,1,00,00,1,0,1,1
357,357,0,0,36,1,0,1,00,00,1,0,1,0
358,358,0,1,37,1,0,1,00,00,1,0,1,1
359,359,0,1,37,1,0,1,00,00,1,0,1,0
360,360,0,1,38,1,0,1,00,00,1,0,1,1
361,361,0,1,38,1,0,1,00,00,1,0,1,0
362,362,0,0,39,1,0,1,00,00,1,0,1,1
363,363,0,0,39,1,0,1,00,00,1,0,1,0
364,364,0,0,40,1,0,1,00,00,1,0,1,1
365,365,0,0,40,1,0,1,00,00,1,0,1,0
366,366,0,1,41,1,0,1,00,00,1,0,1,1
367,367,0,1,41,1,0,1,00,00,1,0,1,0
368,368,0,1,42,1,0,1,00,00,1,0,1,1
369,369,0,1,42,1,0,1,00,00,1,0,1,0
370,370,0,0,43,1,0,1,00,00,1,0,1,1
371,371,0,0,43,1,0,1,00,00,1,0,1,0
372,372,0,0,44,1,0,1,00,00,1,0,1,1
373,373,0,0,44,1,0,1,00,00,1,0,1,0
374,374,0,1,45,1,0,1,00,00,1,0,1,1
375,375,0,1,45,1,0,1,00,00,1,0,1,0
376,376,0,1,46,1,0,1,00,00,1,0,1,1
377,377,0,1,46,1,0,1,00,00,1,0,1,0
378,378,0,0,47,1,0,1,00,00,1,0,1,1
379,379,0,0,47,1,0,1,00,00,1,0,1,0
380,380,0,0,48,1,0,1,00,00,1,0,1,1
381,381,0,0,48,1,0,1,00,00,1,0,1,0
382,382,0,1,49,1,0,1,00,00,1,0,1,1
383,383,0,1,49,1,0,1,00,00,1,0,1,0
384,384,0,1,50,1,0,1,00,00,1,0,1,1
385,385,0,1,50,1,0,1,00,00,1,0,1,0
386,386,0,0,51,1,0,1,00,00,1,0,1,1
387,387,0,0,51,1,0,1,00,00,1,0,1,0
388,388,0,0,52,1,0,1,00,00,1,0,1,1
389,389,0,0,52,1,0,1,00,00,1,0,1,0
390,390,0,1,53,1,0,1,00,00,1,0,1,1
391,391,0,1,53,1,0,1,00,00,1,0,1,0
392,392,0,1,54,1,0,1,00,00,1,0,1,1
393,393,0,1,54,1,0,1,00,00,1,0,1,0
394,394,0,0,55,1,0,1,00,00,1,0,1,1
395,395,0,0,55,1,0,1,00,00,1,0,1,0
396,396,0,0,56,1,0,1,00,00,1,0,1,1
397,397,0,0,56,1,0,1,00,00,1,0,1,0
398,398,0,1,57,1,0,1,00,00,1,0,1,1
399,399,0,1,57,1,0,1,00,00,1,0,1,0
400,400,0,1,58,1,0,1,00,00,1,0,1,1
401,401,0,1,58,1,0,1,00,00,1,0,1,0
402,402,0,0,59,1,0,1,00,00,1,0,1,1
403,403,0,0,59,1,0,1,00,00,1,0,1,0
404,404,0,0,60,1,0,1,00,00,1,0,1,1
405,405,0,0,60,1,0,1,00,00,1,0,1,0
406,406,0,1,61,1,0,1,00,00,1,0,1,1
407,407,0,1,61,1,0,1,00,00,1,0,1,0
408,408,0,1,62,1,0,1,00,00,1,0,1,1
409,409,0,1,62,1,0,1,00,00,1,0,1,0
410,410,0,0,63,1,0,1,00,00,1,0,1,1
411,411,0,0,63,1,0,1,00,00,1,0,1,0
412,412,0,0,64,1,0,1,00,00,1,0,1,1
413,413,0,0,64,1,0,1,00,00,1,0,1,0
414,414,0,1,65,1,0,1,00,00,1,0,1,1
415,415,0,1,65,1,0,1,00,00,1,0,1,0
416,416,0,1,66,1,0,1,00,00,1,0,1,1
417,417,0,1,66,1,0,1,00,00,1,0,1,0
418,418,0,0,67,1,0,1,00,00,1,0,1,1
419,419,0,0,67,1,0,1,00,00,1,0,1,0
420,420,0,0,68,1,0,1,00,00,1,0,1,1
421,421,0,0,68,1,0,1,00,00,1,0,1,0
422,422,0,0,69,1,0,1,00,00,1,1,1,1
423,423,0,0,69,1,0,1,00,00,1,1,1,0
424,424,0,0,70,1,0,1,00,00,1,1,1,1
425,425,0,0,70,1,0,1,00,00,1,1,1,0
426,426,0,0,0,1,0,1,00,00,1,1,1,1
427,427,0,0,0,1,0,1,00,00,1,1,1,0
428,428,0,0,1,1,0,1,00,00,1,1,1,1
429,429,0,0,1,1,0,1,00,00,1,1,1,0
430,430,0,0,2,1,0,1,00,00,1,1,1,1
431,431,0,0,2,1,0,1,00,00,1,1,1,0
432,432,0,0,3,1,0,1,00,00,1,0,1,1
433,433,0,0,3,1,0,1,00,00,1,0,1,0
434,434,0,0,4,1,0,1,00,00,1,0,1,1
435,435,0,0,4,1,0,1,00,00,1,0,1,0
436,436,0,1,5,1,0,1,00,00,1,0,1,1
437,437,0,1,5,1,0,1,00,00,1,0,1,0
438,438,0,1,6,1,0,1,00,00,1,0,1,1
439,439,0,1,6,1,0,1,00,00,1,0,1,0
440,440,0,0,7,1,0,1,00,00,1,0,1,1
441,441,0,0,7,1,0,1,00,00,1,0,1,0
442,442,0,0,8,1,0,1,00,00,1,0,1,1
443,443,0,0,8,1,0,1,00,00,1,0,1,0
444,444,0,1,9,1,0,1,00,00,1,0,1,1
445,445,0,1,9,1,0,1,00,00,1,0,1,0
446,446,0,1,10,1,0,1,00,00,1,0,1,1
447,447,0,1,10,1,0,1,00,00,1,0,1,0
448,448,0,0,11,1,0,1,00,00,1,0,1,1
449,449,0,0,11,1,0,1,00,00,1,0,1,0
450,450,0,0,12,1,0,1,00,00,1,0,1,1
451,451,0,0,12,1,0,1,00,00,1,0,1,0
452,452,0,1,13,1,0,1,00,00,1,0,1,1
453,453,0,1,13,1,0,1,00,00,1,0,1,0
454,454,0,1,14,1,0,1,00,00,1,0,1,1
455,455,0,1,14,1,0,1,00,00,1,0,1,0
456,456,0,0,15,1,1,1,00,00,1,0,1,1
457,457,0,0,15,1,1,1,00,00,1,0,1,0
458,458,0,0,16,1,1,1,00,00,1,0,1,1
459,459,0,0,16,1,1,1,00,00,1,0,1,0
460,460,0,1,17,1,1,1,00,00,1,0,1,1
461,461,0,1,17,1,1,1,00,00,1,0,1,0
462,462,0,1,18,1,1,1,00,00,1,0,1,1
463,463,0,1,18,1,1,1,00,00,1,0,1,0
464,464,0,0,19,1,0,1,00,00,1,0,1,1
465,465,0,0,19,1,0,1,00,00,1,0,1,0
466,466,0,0,20,1,0,1,00,00,1,0,1,1
467,467,0,0,20,1,0,1,00,00,1,0,1,0
468,468,0,1,21,1,0,1,00,00,1,0,1,1
469,469,0,1,21,1,0,1,00,00,1,0,1,0
470,470,0,1,22,1,0,1,00,00,1,0,1,1
471,471,0,1,22,1,0,1,00,00,1,0,1,0
472,472,0,0,23,1,0,1,00,00,1,0,1,1
473,473,0,0,23,1,0,1,00,00,1,0,1,0
474,474,0,0,24,1,0,1,00,00,1,0,1,1
475,475,0,0,24,1,0,1,00,00,1,0,1,0
476,476,0,1,25,1,0,1,00,00,1,0,1,1
477,477,0,1,25,1,0,1,00,00,1,0,1,0
478,478,0,1,26,1,0,1,00,00,1,0,1,1
479,479,0,1,26,1,0,1,00,00,1,0,1,0
480,480,0,0,27,1,1,1,00,00,1,0,1,1
481,481,0,0,27,1,1,1,00,00,1,0,1,0
482,482,0,0,28,1,1,1,00,00,1,0,1,1
483,483,0,0,28,1,1,1,00,00,1,0,1,0
484,484,0,1,29,1,1,1,00,00,1,0,1,1
485,485,0,1,29,1,1,1,00,00,1,0,1,0
486,486,0,1,30,1,1,1,00,00,1,0,1,1
487,487,0,1,30,1,1,1,00,00,1,0,1,0
488,488,0,0,31,1,0,1,00,00,1,0,1,1
489,489,0,0,31,1,0,1,00,00,1,0,1,0
490,490,0,0,32,1,0,1,00,00,1,0,1,1
491,491,0,0,32,1,0,1,00,00,1,0,1,0
492,492,0,1,33,1,0,1,00,00,1,0,1,1
493,493,0,1,33,1,0,1,00,00,1,0,1,0
494,494,0,1,34,1,0,1,00,00,1,0,1,1
495,495,0,1,34,1,0,1,00,00,1,0,1,0
496,496,0,0,35,1,0,1,00,00,1,0,1,1
497,497,0,0,35,1,0,1,00,00,1,0,1,0
498,498,0,0,36,1,0,1,00,00,1,0,1,1
499,499,0,0,36,1,0,1,00,00,1,0,1,0
500,500,0,1,37,1,0,1,00,00,1,0,1,1
501,501,0,1,37,1,0,1,00,00,1,0,1,0
502,502,0,1,38,1,0,1,00,00,1,0,1,1
503,503,0,1,38,1,0,1,00,00,1,0,1,0
504,504,0,0,39,1,0,1,00,00,1,0,1,1
505,505,0,0,39,1,0,1,00,00,1,0,1,0
506,506,0,0,40,1,0,1,00,00,1,0,1,1
507,507,0,0,40,1,0,1,00,00,1,0,1,0
508,508,0,1,41,1,0,1,00,00,1,0,1,1
509,509,0,1,41,1,0,1,00,00,1,0,1,0
510,510,0,1,42,1,0,1,00,00,1,0,1,1
511,511,0,1,42,1,0,1,00,00,1,0,1,0
512,512,0,0,43,1,0,1,00,00,1,0,1,1
513,513,0,0,43,1,0,1,00,00,1,0,1,0
514,514,0,0,44,1,0,1,00,00,1,0,1,1
515,515,0,0,44,1,0,1,00,00,1,0,1,0
516,516,0,1,45,1,0,1,00,00,1,0,1,1
517,517,0,1,45,1,0,1,00,00,1,0,1,0
518,518,0,1,46,1,0,1,00,00,1,0,1,1
519,519,0,1,46,1,0,1,00,00,1,0,1,0
520,520,0,0,47,1,0,1,00,00,1,0,1,1
521,521,0,0,47,1,0,1,00,00,1,0,1,0
522,522,0,0,48,1,0,1,00,00,1,0,1,1
523,523,0,0,48,1,0,1,00,00,1,0,1,0
524,524,0,1,49,1,0,1,00,00,1,0,1,1
525,525,0,1,49,1,0,1,00,00,1,0,1,0
526,526,0,1,50,1,0,1,00,00,1,0,1,1
527,527,0,1,50,1,0,1,00,00,1,0,1,0
528,528,0,0,51,1,0,1,00,00,1,0,1,1
529,529,0,0,51,1,0,1,00,00,1,0,1,0
530,530,0,0,52,1,0,1,00,00,1,0,1,1
531,531,0,0,52,1,0,1,00,00,1,0,1,0
532,532,0,1,53,1,0,1,00,00,1,0,1,1
533,533,0,1,53,1,0,1,00,00,1,0,1,0
534,534,0,1,54,1,0,1,00,00,1,0,1,1
535,535,0,1,54,1,0,1,00,00,1,0,1,0
536,536,0,0,55,1,0,1,00,00,1,0,1,1
537,537,0,0,55,1,0,1,00,00,1,0,1,0
538,538,0,0,56,1,0,1,00,00,1,0,1,1
539,539,0,0,56,1,0,1,00,00,1,0,1,0
540,540,0,1,57,1,0,1,00,00,1,0,1,1
541,541,0,1,57,1,0,1,00,00,1,0,1,0
542,542,0,1,58,1,0,1,00,00,1,0,1,1
543,543,0,1,58,1,0,1,00,00,1,0,1,0
544,544,0,0,59,1,0,1,00,00,1,0,1,1
545,545,0,0,59,1,0,1,00,00,1,0,1,0
546,546,0,0,60,1,0,1,00,00,1,0,1,1
547,547,0,0,60,1,0,1,00,00,1,0,1,0
548,548,0,1,61,1,0,1,00,00,1,0,1,1
549,549,0,1,61,1,0,1,00,00,1,0,1,0
550,550,0,1,62,1,0,1,00,00,1,0,1,1
551,551,0,1,62,1,0,1,00,00,1,0,1,0
552,552,0,0,63,1,0,1,00,00,1,0,1,1
553,553,0,0,63,1,0,1,00,00,1,0,1,0
554,554,0,0,64,1,0,1,00,00,1,0,1,1
555,555,0,0,64,1,0,1,00,00,1,0,1,0
556,556,0,1,65,1,0,1,00,00,1,0,1,1
557,557,0,1,65,1,0,1,00,00,1,0,1,0
558,558,0,1,66,1,0,1,00,00,1,0,1,1
559,559,0,1,66,1,0,1,00,00,1,0,1,0
560,560,0,0,67,1,0,1,00,00,1,0,1,1
561,561,0,0,67,1,0,1,00,00,1,0,1,0
562,562,0,0,68,1,0,1,00,00,1,0,1,1
563,563,0,0,68,1,0,1,00,00,1,0,1,0
564,564,0,0,69,1,0,1,00,00,1,1,1,1
565,565,0,0,69,1,0,1,00,00,1,1,1,0
566,566,0,0,70,1,0,1,00,00,1,1,1,1
567,567,0,0,70,1,0,1,00,00,1,1,1,0
568,568,0,0,0,1,0,1,00,00,1,1,1,1
569,569,0,0,0,1,0,1,00,00,1,1,1,0
570,570,0,0,1,1,0,1,00,00,1,1,1,1
571,571,0,0,1,1,0,1,00,00,1,1,1,0
572,572,0,0,2,1,0,1,00,00,1,1,1,1
573,573,0,0,2,1,0,1,00,00,1,1,1,0
574,574,0,0,3,1,0,1,00,00,1,0,1,1
575,575,0,0,3,1,0,1,00,00,1,0,1,0
576,576,0,0,4,1,0,1,00,00,1,0,1,1
577,577,0,0,4,1,0,1,00,00,1,0,1,0
578,578,0,1,5,1,0,1,00,00,1,0,1,1
579,579,0,1,5,1,0,1,00,00,1,0,1,0
580,580,0,1,6,1,0,1,00,00,1,0,1,1
581,581,0,1,6,1,0,1,00,00,1,0,1,0
582,582,0,0,7,1,0,1,00,00,1,0,1,1
583,583,0,0,7,1,0,1,00,00,1,0,1,0
584,584,0,0,8,1,0,1,00,00,1,0,1,1
585,585,0,0,8,1,0,1,00,00,1,0,1,0
586,586,0,1,9,1,0,1,00,00,1,0,1,1
587,587,0,1,9,1,0,1,00,00,1,0,1,0
588,588,0,1,10,1,0,1,00,00,1,0,1,1
589,589,0,1,10,1,0,1,00,00,1,0,1,0
590,590,0,0,11,1,0,1,00,00,1,0,1,1
591,591,0,0,11,1,0,1,00,00,1,0,1,0
592,592,0,0,12,1,0,1,00,00,1,0,1,1
593,593,0,0,12,1,0,1,00,00,1,0,1,0
594,594,0,1,13,1,0,1,00,00,1,0,1,1
595,595,0,1,13,1,0,1,00,00,1,0,1,0
596,596,0,1,14,1,0,1,00,00,1,0,1,1
597,597,0,1,14,1,0,1,00,00,1,0,1,0
598,598,0,0,15,1,1,1,00,00,1,0,1,1
599,599,0,0,15,1,1,1,00,00,1,0,1,0
600,600,0,0,16,1,1,1,00,00,1,0,1,1
601,601,0,0,16,1,1,1,00,00,1,0,1,0
602,602,0,1,17,1,1,1,00,00,1,0,1,1
603,603,0,1,17,1,1,1,00,00,1,0,1,0
604,604,0,1,18,1,1,1,00,00,1,0,1,1
605,605,0,1,18,1,1,1,00,00,1,0,1,0
606,606,0,0,19,1,0,1,00,00,1,0,1,1
607,607,0,0,19,1,0,1,00,00,1,0,1,0
608,608,0,0,20,1,0,1,00,00,1,0,1,1
609,609,0,0,20,1,0,1,00,00,1,0,1,0
610,610,0,1,21,1,0,1,00,00,1,0,1,1
611,611,0,1,21,1,0,1,00,00,1,0,1,0
612,612,0,1,22,1,0,1,00,00,1,0,1,1
613,613,0,1,22,1,0,1,00,00,1,0,1,0
614,614,0,0,23,1,0,1,00,00,1,0,1,1
615,615,0,0,23,1,0,1,00,00,1,0,1,0
616,616,0,0,24,1,0,1,00,00,1,0,1,1
617,617,0,0,24,1,0,1,00,00,1,0,1,0
618,618,0,1,25,1,0,1,00,00,1,0,1,1
619,619,0,1,25,1,0,1,00,00,1,0,1,0
620,620,0,1,26,1,0,1,00,00,1,0,1,1
621,621,0,1,26,1,0,1,00,00,1,0,1,0
622,622,0,0,27,1,1,1,00,00,1,0,1,1
623,623,0,0,27,1,1,1,00,00,1,0,1,0
624,624,0,0,28,1,1,1,00,00,1,0,1,1
625,625,0,0,28,1,1,1,00,00,1,0,1,0
626,626,0,1,29,1,1,1,00,00,1,0,1,1
627,627,0,1,29,1,1,1,00,00,1,0,1,0
628,628,0,1,30,1,1,1,00,00,1,0,1,1
629,629,0,1,30,1,1,1,00,00,1,0,1,0
630,630,0,0,31,1,0,1,00,00,1,0,1,1
631,631,0,0,31,1,0,1,00,00,1,0,1,0
632,632,0,0,32,1,0,1,00,00,1,0,1,1
633,633,0,0,32,1,0,1,00,00,1,0,1,0
634,634,0,1,33,1,0,1,00,00,1,0,1,1
635,635,0,1,33,1,0,1,00,00,1,0,1,0
636,636,0,1,34,1,0,1,00,00,1,0,1,1
637,637,0,1,34,1,0,1,00,00,1,0,1,0
638,638,0,0,35,1,0,1,00,00,1,0,1,1
639,639,0,0,35,1,0,1,00,00,1,0,1,0
640,640,0,0,36,1,0,1,00,00,1,0,1,1
641,641,0,0,36,1,0,1,00,00,1,0,1,0
642,642,0,1,37,1,0,1,00,00,1,0,1,1
643,643,0,1,37,1,0,1,00,00,1,0,1,0
644,644,0,1,38,1,0,1,00,00,1,0,1,1
645,645,0,1,38,1,0,1,00,00,1,0,1,0
646,646,0,0,39,1,0,1,00,00,1,0,1,1
647,647,0,0,39,1,0,1,00,00,1,0,1,0
648,648,0,0,40,1,0,1,00,00,1,0,1,1
649,649,0,0,40,1,0,1,00,00,1,0,1,0
650,650,0,1,41,1,0,1,00,00,1,0,1,1
651,651,0,1,41,1,0,1,00,00,1,0,1,0
652,652,0,1,42,1,0,1,00,00,1,0,1,1
653,653,0,1,42,1,0,1,00,00,1,0,1,0
654,654,0,0,43,1,0,1,00,00,1,0,1,1
655,655,0,0,43,1,0,1,00,00,1,0,1,0
656,656,0,0,44,1,0,1,00,00,1,0,1,1
657,657,0,0,44,1,0,1,00,00,1,0,1,0
658,658,0,1,45,1,0,1,00,00,1,0,1,1
659,659,0,1,45,1,0,1,00,00,1,0,1,0
660,660,0,1,46,1,0,1,00,00,1,0,1,1
661,661,0,1,46,1,0,1,00,00,1,0,1,0
662,662,0,0,47,1,0,1,00,00,1,0,1,1
663,663,0,0,47,1,0,1,00,00,1,0,1,0
664,664,0,0,48,1,0,1,00,00,1,0,1,1
665,665,0,0,48,1,0,1,00,00,1,0,1,0
666,666,0,1,49,1,0,1,00,00,1,0,1,1
667,667,0,1,49,1,0,1,00,00,1,0,1,0
668,668,0,1,50,1,0,1,00,00,1,0,1,1
669,669,0,1,50,1,0,1,00,00,1,0,1,0
670,670,0,0,51,1,0,1,00,00,1,0,1,1
671,671,0,0,51,1,0,1,00,00,1,0,1,0
672,672,0,0,52,1,0,1,00,00,1,0,1,1
673,673,0,0,52,1,0,1,00,00,1,0,1,0
674,674,0,1,53,1,0,1,00,00,1,0,1,1
675,675,0,1,53,1,0,1,00,00,1,0,1,0
676,676,0,1,54,1,0,1,00,00,1,0,1,1
677,677,0,1,54,1,0,1,00,00,1,0,1,0
678,678,0,0,55,1,0,1,00,00,1,0,1,1
679,679,0,0,55,1,0,1,00,00,1,0,1,0
680,680,0,0,56,1,0,1,00,00,1,0,1,1
681,681,0,0,56,1,0,1,00,00,1,0,1,0
682,682,0,1,57,1,0,1,00,00,1,0,1,1
